name,born_date,born_location,description
Albert Einstein,1879-03-14T00:00:00,"in Ulm, Germany","In 1879, Albert Einstein was born in Ulm,"
J.K. Rowling,1965-07-31T00:00:00,"in Yate, South Gloucestershire, England, The United Kingdom",See also: Robert GalbraithAlthough she wr
Jane Austen,1775-12-16T00:00:00,"in Steventon Rectory, Hampshire, The United Kingdom",Jane Austen was an English novelist whose
Marilyn Monroe,1926-06-01T00:00:00,in The United States,Marilyn Monroe (born Norma Jeane Mortenso
André Gide,1869-11-22T00:00:00,"in Paris, France",André Paul Guillaume Gide was a French au
Thomas A. Edison,1847-02-11T00:00:00,"in Milan, Ohio, The United States",Thomas Alva Edison was an American invent
Eleanor Roosevelt,1884-10-11T00:00:00,in The United States,Anna Eleanor Roosevelt was an American po
Steve Martin,1945-08-14T00:00:00,"in Waco, Texas, The United States","Stephen Glenn ""Steve"" Martin is an Americ"
Bob Marley,1945-02-06T00:00:00,"in Nine Mile, Saint Ann, Jamaica","Robert ""Bob"" Nesta Marley OM was a Jamaic"
Dr. Seuss,1904-03-02T00:00:00,"in Springfield, MA, The United States",Theodor Seuss Geisel was born 2 March 190
Douglas Adams,1952-03-11T00:00:00,"in Cambridge, England, The United Kingdom","Douglas Noël Adams was an English author,"
Elie Wiesel,1928-09-30T00:00:00,"in Sighet, Romania",Eliezer Wiesel was a Romania-born America
Friedrich Nietzsche,1844-10-15T00:00:00,"in Röcken bei Lützen, Prussian Province of Saxony, Germany",Friedrich Wilhelm Nietzsche (1844–1900) i
Mark Twain,1835-11-30T00:00:00,"in Florida, Missouri, The United States","Samuel Langhorne Clemens, better known by"
Allen Saunders,1899-04-24T00:00:00,in The United States,"Allen Saunders was an American writer, jo"
Pablo Neruda,1904-07-12T00:00:00,"in Parral, Chile","Pablo Neruda was the pen name and, later,"
Ralph Waldo Emerson,1803-05-25T00:00:00,"in Boston, Massachusetts, The United States","in 1803, Ralph Waldo Emerson was born in"
Mother Teresa,1910-08-26T00:00:00,"in Skopje, Macedonia, the Former Yugoslav Republic of","Blessed Teresa of Calcutta, or Mother Ter"
Garrison Keillor,1942-08-07T00:00:00,"in Anoka, Minnesota, The United States",Garrison Keillor (born Gary Edward Keillo
Jim Henson,1936-09-24T00:00:00,"in Greenville, Mississippi, The United States","James Maury ""Jim"" Henson was the most wid"
Charles M. Schulz,1922-11-26T00:00:00,"in Minneapolis, MN, The United States",Charles Monroe Schulz was an American car
William Nicholson,1948-01-12T00:00:00,"in Lewes, Sussex, The United Kingdom",Librarian Note: There is more than one au
Jorge Luis Borges,1899-08-24T00:00:00,"in Buenos Aires, Argentina",Jorge Francisco Isidoro Luis Borges Aceve
George Eliot,1819-11-22T00:00:00,"in South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kingdom","In 1819, novelist George Eliot (nee Mary"
George R.R. Martin,1948-09-20T00:00:00,"in Bayonne, New Jersey, The United States",George R. R. Martin was born September 20
C.S. Lewis,1898-11-29T00:00:00,"in Belfast, Ireland",CLIVE STAPLES LEWIS (1898–1963) was one o
Martin Luther King Jr.,1929-01-15T00:00:00,"in Atlanta, Georgia, The United States","Martin Luther King, Jr. was one of the pi"
James Baldwin,1924-08-02T00:00:00,"in Harlem, New York, The United States",Librarian Note: There is more than one au
